               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089965,            0.066391,            0.043912,              0.2012,             0.52754,             0.20613,            0.067121,            0.061116,            0.060809,            0.044336,            0.070462,           0.0032821,           0.0032821
                   1,            0.066989,            0.057163,            0.035945,             0.25774,             0.57055,              0.2794,            0.097479,            0.059981,            0.037057,            0.040558,            0.040418,           0.0065717,           0.0065717
                   2,            0.062655,             0.04779,            0.031617,             0.30078,             0.63166,             0.40991,             0.17556,            0.057947,            0.034314,            0.033887,             0.01033,           0.0098174,           0.0098174
                   3,            0.056985,            0.048121,            0.026228,             0.54047,             0.64207,             0.60606,              0.2862,            0.045841,            0.033638,             0.02781,            0.009802,            0.009802,            0.009802
                   4,            0.051745,            0.045023,            0.021675,             0.72834,             0.70074,             0.74795,             0.32075,            0.042245,            0.031569,             0.02219,            0.009802,            0.009802,            0.009802
                   5,             0.04822,            0.044941,            0.018927,             0.78476,             0.70217,             0.78726,             0.37635,            0.036635,            0.031713,            0.018598,            0.009736,            0.009736,            0.009736
                   6,            0.046292,            0.044935,            0.016225,             0.82495,              0.6586,             0.78248,             0.36807,            0.040008,            0.032662,            0.016454,             0.00967,             0.00967,             0.00967
                   7,            0.043668,            0.043283,            0.013875,             0.70801,             0.77192,             0.80757,             0.46726,            0.034703,            0.031712,            0.012723,            0.009604,            0.009604,            0.009604
                   8,            0.042853,            0.043014,            0.013566,             0.80025,             0.76486,             0.81703,             0.44893,            0.033961,            0.031518,            0.013089,            0.009538,            0.009538,            0.009538
                   9,            0.042561,            0.043642,            0.011868,             0.80539,             0.73634,             0.81019,             0.49047,             0.03319,            0.031844,            0.010784,            0.009472,            0.009472,            0.009472
                  10,            0.041098,            0.044884,            0.011625,             0.82828,             0.76142,               0.832,             0.47102,            0.033598,            0.031633,            0.013546,            0.009406,            0.009406,            0.009406
                  11,            0.040788,            0.043295,           0.0098588,             0.85824,             0.77598,             0.84313,              0.5184,            0.032213,            0.030584,            0.010106,             0.00934,             0.00934,             0.00934
                  12,            0.040166,            0.042843,            0.010127,             0.88493,             0.79009,             0.85106,             0.52779,            0.032589,            0.031698,           0.0088165,            0.009274,            0.009274,            0.009274
                  13,            0.039171,            0.041663,           0.0092968,             0.84412,             0.77953,             0.83789,             0.49982,            0.031825,            0.030957,            0.014169,            0.009208,            0.009208,            0.009208
                  14,             0.03924,            0.042267,           0.0086192,              0.8493,             0.75668,             0.83627,             0.50966,            0.032516,            0.030772,           0.0096954,            0.009142,            0.009142,            0.009142
                  15,            0.038021,            0.041366,           0.0082577,             0.83427,             0.79988,             0.85898,              0.5572,            0.030456,            0.029915,            0.010316,            0.009076,            0.009076,            0.009076
                  16,             0.03775,            0.041632,           0.0087702,             0.84329,             0.77216,             0.83337,             0.51853,            0.030621,             0.03117,             0.01026,             0.00901,             0.00901,             0.00901
                  17,            0.037992,            0.040947,           0.0078711,             0.87064,             0.78625,             0.85718,              0.5371,            0.031023,            0.031196,           0.0087234,            0.008944,            0.008944,            0.008944
                  18,            0.037674,            0.041219,           0.0080221,              0.8365,             0.73703,             0.83624,             0.52011,            0.030049,             0.03138,            0.013489,            0.008878,            0.008878,            0.008878
                  19,            0.037343,            0.041491,           0.0076452,             0.83135,             0.81615,             0.85668,             0.57132,             0.02826,            0.029732,            0.010183,            0.008812,            0.008812,            0.008812
                  20,            0.036813,            0.042458,           0.0076452,             0.87676,             0.78118,             0.85955,             0.57293,            0.027184,            0.031521,           0.0085551,            0.008746,            0.008746,            0.008746
                  21,            0.035399,            0.039451,           0.0072191,             0.86235,             0.78418,             0.84853,             0.54858,            0.028939,            0.031422,           0.0094493,             0.00868,             0.00868,             0.00868
                  22,             0.03603,            0.039529,           0.0063027,             0.81931,             0.77511,             0.81849,             0.55358,             0.02832,            0.030514,            0.012569,            0.008614,            0.008614,            0.008614
                  23,            0.035306,            0.038851,           0.0071746,             0.78671,              0.8463,             0.83869,             0.57328,            0.027635,            0.029888,            0.010805,            0.008548,            0.008548,            0.008548
                  24,            0.035288,            0.039582,           0.0066379,              0.8104,             0.82765,              0.8461,             0.56996,            0.027005,            0.030506,            0.010047,            0.008482,            0.008482,            0.008482
                  25,            0.035249,            0.039358,           0.0063528,             0.83735,             0.83204,             0.85598,             0.53474,            0.031517,            0.031301,           0.0095952,            0.008416,            0.008416,            0.008416
                  26,            0.035509,            0.039112,           0.0064925,             0.84073,             0.80392,             0.85754,             0.53484,            0.030274,            0.031651,           0.0095233,             0.00835,             0.00835,             0.00835
                  27,            0.034716,            0.039973,           0.0067267,             0.88713,             0.80519,             0.87263,             0.57576,            0.027673,            0.030432,           0.0085943,            0.008284,            0.008284,            0.008284
                  28,            0.034342,            0.038666,           0.0058367,             0.79033,             0.80519,             0.83742,             0.56946,            0.027758,              0.0298,            0.009845,            0.008218,            0.008218,            0.008218
                  29,            0.034042,            0.038735,           0.0057248,             0.89332,             0.78764,             0.86736,             0.58759,            0.027044,            0.030497,           0.0091565,            0.008152,            0.008152,            0.008152
                  30,            0.034358,            0.039725,           0.0058521,             0.86361,             0.80989,             0.86478,              0.5723,            0.027322,            0.030241,            0.010403,            0.008086,            0.008086,            0.008086
                  31,            0.033679,            0.036952,           0.0052846,             0.76471,             0.82851,             0.83388,             0.55836,            0.028014,            0.030848,            0.010971,             0.00802,             0.00802,             0.00802
                  32,            0.033027,            0.038424,           0.0054885,             0.86281,             0.75321,              0.8333,             0.57229,            0.027305,            0.030495,            0.013683,            0.007954,            0.007954,            0.007954
                  33,            0.033319,            0.038114,           0.0054895,             0.87092,             0.81969,             0.85957,             0.57617,            0.027221,            0.031717,           0.0079425,            0.007888,            0.007888,            0.007888
                  34,            0.033666,              0.0373,           0.0054485,             0.84493,             0.78311,             0.83909,             0.56853,            0.026916,            0.031479,            0.012779,            0.007822,            0.007822,            0.007822
                  35,            0.033343,            0.037943,           0.0046529,             0.86061,              0.8168,             0.85778,             0.58168,            0.026822,            0.030401,            0.010378,            0.007756,            0.007756,            0.007756
                  36,            0.032829,            0.036535,           0.0050057,             0.87402,              0.8137,             0.86091,             0.59172,            0.026068,            0.030564,           0.0090065,             0.00769,             0.00769,             0.00769
                  37,            0.032682,            0.038204,           0.0049302,             0.86061,             0.81474,             0.87248,             0.60348,            0.026097,            0.030457,            0.010149,            0.007624,            0.007624,            0.007624
                  38,            0.033117,            0.037942,             0.00479,             0.82194,             0.81582,             0.85338,             0.58799,            0.026147,            0.030248,            0.012373,            0.007558,            0.007558,            0.007558
                  39,            0.032433,             0.03697,           0.0046483,             0.84619,             0.80705,             0.85338,             0.58625,              0.0259,            0.030538,            0.012587,            0.007492,            0.007492,            0.007492
                  40,            0.032444,            0.038062,           0.0048663,             0.84378,             0.82147,             0.85786,             0.59671,            0.025775,            0.030029,           0.0090464,            0.007426,            0.007426,            0.007426
                  41,            0.031228,            0.035726,           0.0045049,             0.89937,             0.79729,             0.86429,             0.60321,            0.026281,            0.030018,           0.0089404,             0.00736,             0.00736,             0.00736
                  42,            0.031489,            0.037198,           0.0048677,             0.84539,              0.8045,             0.84315,             0.58716,             0.02524,            0.030341,            0.010148,            0.007294,            0.007294,            0.007294
                  43,            0.032296,            0.037367,           0.0046731,             0.85487,             0.81719,             0.86728,             0.59001,            0.026127,            0.030165,           0.0097585,            0.007228,            0.007228,            0.007228
                  44,            0.030846,            0.036251,           0.0044818,             0.85894,             0.81963,             0.87014,             0.59145,            0.026364,            0.030116,           0.0079323,            0.007162,            0.007162,            0.007162
                  45,            0.030511,             0.03633,            0.004141,             0.85724,             0.82238,             0.86411,             0.60297,            0.025264,            0.030996,           0.0093969,            0.007096,            0.007096,            0.007096
                  46,             0.03092,            0.035443,           0.0037071,              0.8442,             0.81885,             0.86264,             0.59678,            0.025861,              0.0303,           0.0093839,             0.00703,             0.00703,             0.00703
                  47,            0.031373,            0.037725,           0.0039354,             0.86823,             0.78439,             0.86168,              0.6046,            0.024757,            0.029855,           0.0096334,            0.006964,            0.006964,            0.006964
                  48,            0.029817,            0.034521,           0.0040262,             0.85315,             0.82314,             0.87906,             0.60743,            0.025458,            0.029722,           0.0091426,            0.006898,            0.006898,            0.006898
                  49,            0.030267,            0.035707,           0.0034669,             0.86449,             0.80792,             0.86481,             0.58847,             0.02621,            0.029837,            0.010342,            0.006832,            0.006832,            0.006832
                  50,            0.030448,             0.03592,           0.0035556,             0.86413,             0.82724,             0.87779,             0.60174,            0.026055,            0.029813,           0.0085116,            0.006766,            0.006766,            0.006766
                  51,            0.030566,            0.035629,           0.0036787,             0.85712,             0.82687,             0.86683,             0.60688,            0.024739,            0.031149,            0.010362,              0.0067,              0.0067,              0.0067
                  52,            0.029329,            0.033863,           0.0035591,             0.89418,             0.79604,             0.86779,             0.60089,            0.025292,            0.030248,            0.010218,            0.006634,            0.006634,            0.006634
                  53,            0.030373,            0.035331,           0.0036314,             0.88046,             0.83055,              0.8739,             0.59385,             0.02698,            0.030621,            0.010303,            0.006568,            0.006568,            0.006568
                  54,            0.030208,            0.034595,           0.0040565,             0.86018,             0.80608,             0.85936,             0.60003,             0.02522,            0.029832,            0.010575,            0.006502,            0.006502,            0.006502
                  55,            0.029446,            0.034823,           0.0033117,               0.862,             0.84988,             0.88203,             0.60935,            0.025084,            0.029963,           0.0089169,            0.006436,            0.006436,            0.006436
                  56,            0.030058,             0.03632,           0.0034344,             0.88554,             0.78877,             0.85749,             0.60509,            0.026568,            0.030671,           0.0099266,             0.00637,             0.00637,             0.00637
                  57,            0.029489,            0.035021,           0.0036006,             0.86482,             0.83377,             0.86962,             0.61336,             0.02482,            0.030191,            0.010081,            0.006304,            0.006304,            0.006304
                  58,            0.029058,            0.035257,           0.0038463,             0.87341,             0.82995,             0.87136,             0.59721,            0.025326,            0.031085,            0.010206,            0.006238,            0.006238,            0.006238
                  59,            0.028726,             0.03377,            0.003483,             0.83419,              0.8202,             0.85747,             0.60124,            0.025471,             0.03109,            0.010587,            0.006172,            0.006172,            0.006172
                  60,            0.028648,            0.034392,           0.0032005,             0.83412,             0.81851,             0.86685,              0.5985,            0.025183,            0.030047,            0.010682,            0.006106,            0.006106,            0.006106
                  61,            0.029174,            0.034376,           0.0032394,             0.86653,             0.82938,             0.86439,             0.60376,             0.02598,            0.030621,            0.010623,             0.00604,             0.00604,             0.00604
                  62,            0.028487,            0.034274,           0.0032174,             0.84972,             0.82296,             0.84909,             0.59995,            0.026271,            0.031924,            0.011005,            0.005974,            0.005974,            0.005974
                  63,            0.028618,            0.033118,           0.0035569,             0.91009,             0.77957,             0.86029,              0.6063,            0.024785,            0.030431,            0.011668,            0.005908,            0.005908,            0.005908
                  64,            0.028383,            0.034119,           0.0033631,             0.88936,             0.83177,             0.87402,              0.6119,            0.025489,            0.031267,             0.00893,            0.005842,            0.005842,            0.005842
                  65,            0.027973,            0.033677,           0.0027556,              0.8744,             0.78369,             0.85292,             0.59685,            0.025267,            0.030388,            0.011213,            0.005776,            0.005776,            0.005776
                  66,            0.028052,            0.033354,            0.002924,             0.90643,             0.78653,             0.86768,             0.61265,             0.02487,            0.029644,            0.009317,             0.00571,             0.00571,             0.00571
                  67,            0.028156,             0.03288,           0.0031615,             0.89268,             0.81011,             0.87159,             0.60402,            0.025886,            0.029831,           0.0085007,            0.005644,            0.005644,            0.005644
                  68,            0.028469,            0.032228,           0.0032505,             0.86889,             0.81938,             0.86331,             0.60818,            0.024448,            0.031144,            0.010221,            0.005578,            0.005578,            0.005578
                  69,            0.027733,            0.032237,           0.0030921,             0.83956,             0.80791,             0.85509,             0.61078,            0.024217,            0.030732,            0.010336,            0.005512,            0.005512,            0.005512
                  70,            0.027199,            0.033351,           0.0028388,             0.87348,             0.79976,             0.85854,             0.60238,            0.024817,            0.029941,              0.0103,            0.005446,            0.005446,            0.005446
                  71,            0.027892,            0.033126,           0.0028208,             0.87991,             0.81256,             0.86126,             0.61469,            0.024718,            0.030726,           0.0099981,             0.00538,             0.00538,             0.00538
                  72,            0.027102,            0.031903,           0.0025002,             0.86394,             0.83684,             0.87362,              0.6065,            0.025673,            0.030773,           0.0085487,            0.005314,            0.005314,            0.005314
                  73,            0.027644,            0.031538,            0.003176,             0.86907,             0.82577,             0.87018,             0.60803,             0.02443,            0.030275,           0.0098646,            0.005248,            0.005248,            0.005248
                  74,            0.027169,            0.033269,           0.0029309,             0.86499,             0.83016,             0.87054,             0.61873,            0.024981,            0.030516,           0.0085386,            0.005182,            0.005182,            0.005182
                  75,            0.026672,            0.032533,           0.0026375,             0.86949,             0.81302,             0.86448,             0.61165,            0.025192,            0.030591,           0.0099635,            0.005116,            0.005116,            0.005116
                  76,            0.026935,            0.032432,           0.0025301,             0.84272,             0.83057,             0.86792,             0.61191,            0.025223,            0.030995,           0.0088356,             0.00505,             0.00505,             0.00505
                  77,            0.026067,            0.033087,           0.0025817,             0.87967,             0.80395,             0.84952,             0.60396,            0.024917,            0.031858,           0.0099663,            0.004984,            0.004984,            0.004984
                  78,            0.026606,            0.031031,           0.0028265,             0.88274,             0.82229,             0.86211,             0.61176,            0.024523,            0.030724,           0.0098564,            0.004918,            0.004918,            0.004918
                  79,            0.026616,            0.031134,            0.002742,             0.84175,             0.81161,             0.85846,              0.6001,            0.024607,            0.030727,            0.010269,            0.004852,            0.004852,            0.004852
                  80,            0.025916,            0.031148,           0.0028586,             0.88906,             0.80023,             0.86947,             0.61336,            0.024346,            0.031791,           0.0086248,            0.004786,            0.004786,            0.004786
                  81,            0.026093,            0.031354,           0.0026805,             0.90336,             0.81819,             0.86099,             0.61613,            0.024366,             0.03108,           0.0087039,             0.00472,             0.00472,             0.00472
                  82,            0.026316,            0.031833,           0.0023493,             0.87938,             0.81568,             0.87034,             0.61921,            0.024413,            0.030993,           0.0087613,            0.004654,            0.004654,            0.004654
                  83,            0.026174,            0.031142,           0.0023323,             0.88078,             0.79778,             0.86531,             0.61585,            0.024602,            0.030969,            0.010237,            0.004588,            0.004588,            0.004588
                  84,            0.025082,            0.031878,             0.00247,             0.86875,             0.81937,             0.86469,             0.61853,            0.024489,            0.030645,            0.009551,            0.004522,            0.004522,            0.004522
                  85,            0.025664,             0.03029,           0.0025062,             0.87795,             0.82062,             0.86607,             0.62117,            0.024725,            0.030988,            0.008625,            0.004456,            0.004456,            0.004456
                  86,              0.0258,            0.030311,           0.0026714,             0.90332,             0.81861,             0.88042,              0.6221,            0.024645,            0.031188,           0.0083356,             0.00439,             0.00439,             0.00439
                  87,              0.0256,            0.031559,           0.0023343,             0.87963,             0.83688,             0.87859,             0.61678,            0.024986,            0.031236,           0.0092064,            0.004324,            0.004324,            0.004324
                  88,            0.025394,            0.031162,           0.0024769,             0.84208,             0.81489,             0.85054,             0.60624,            0.024846,            0.031603,            0.011131,            0.004258,            0.004258,            0.004258
                  89,            0.025493,            0.030573,           0.0024354,             0.88434,             0.79429,             0.85711,             0.60386,            0.024872,            0.031466,            0.011075,            0.004192,            0.004192,            0.004192
                  90,            0.024779,            0.030139,           0.0022024,             0.88084,              0.8073,             0.86672,             0.61363,            0.024588,            0.031148,            0.010695,            0.004126,            0.004126,            0.004126
                  91,            0.025558,            0.029875,           0.0022295,             0.88359,             0.79622,              0.8663,              0.6078,            0.024802,            0.031754,           0.0088771,             0.00406,             0.00406,             0.00406
                  92,            0.025164,             0.03057,           0.0024068,             0.87794,             0.82152,             0.87473,             0.61196,            0.024511,            0.030874,            0.010603,            0.003994,            0.003994,            0.003994
                  93,            0.024468,                0.03,           0.0019454,             0.88558,             0.81755,             0.86132,             0.61079,            0.024545,             0.03224,           0.0097974,            0.003928,            0.003928,            0.003928
                  94,            0.024551,            0.029957,           0.0024117,             0.84856,             0.81442,             0.86561,             0.61907,             0.02438,            0.031275,            0.010391,            0.003862,            0.003862,            0.003862
                  95,            0.024441,            0.029333,           0.0022057,             0.89512,             0.79558,             0.86108,             0.61242,            0.024245,            0.031862,            0.010451,            0.003796,            0.003796,            0.003796
                  96,            0.023931,            0.029733,           0.0018535,             0.85215,             0.83594,             0.87342,             0.62198,            0.023865,            0.031949,            0.010167,             0.00373,             0.00373,             0.00373
                  97,            0.024039,            0.028948,           0.0020786,              0.8648,             0.82832,             0.86015,             0.61866,            0.024531,            0.031981,            0.010102,            0.003664,            0.003664,            0.003664
                  98,            0.023981,            0.030267,           0.0021619,             0.87927,             0.81562,             0.86036,             0.61832,            0.024278,            0.031097,            0.010005,            0.003598,            0.003598,            0.003598
                  99,            0.024359,            0.030045,           0.0019614,             0.87586,             0.82651,                0.86,              0.6225,            0.024146,            0.031904,             0.01009,            0.003532,            0.003532,            0.003532
                 100,            0.023692,            0.029917,           0.0019776,             0.88934,             0.81856,             0.86226,             0.61029,            0.024874,            0.032173,             0.01018,            0.003466,            0.003466,            0.003466
                 101,            0.023523,            0.029065,           0.0021935,             0.89685,              0.8157,             0.86868,             0.62089,            0.024308,            0.031785,           0.0097242,              0.0034,              0.0034,              0.0034
                 102,            0.023586,            0.029484,           0.0017471,             0.92883,             0.80694,             0.87258,             0.62588,             0.02455,            0.031673,           0.0093788,            0.003334,            0.003334,            0.003334
                 103,            0.023256,            0.029539,           0.0020735,             0.90313,             0.81474,             0.87087,             0.62481,            0.024546,            0.031416,            0.010485,            0.003268,            0.003268,            0.003268
                 104,            0.023638,            0.029415,           0.0019335,             0.86521,              0.8049,             0.85735,             0.60865,            0.024541,            0.032436,            0.011167,            0.003202,            0.003202,            0.003202
                 105,            0.023717,            0.029256,           0.0019322,             0.84269,             0.81871,             0.86227,             0.61562,            0.024669,            0.031836,            0.011246,            0.003136,            0.003136,            0.003136
                 106,             0.02315,            0.028542,           0.0017265,              0.9019,             0.82147,             0.87735,             0.61487,            0.024709,             0.03196,            0.010445,             0.00307,             0.00307,             0.00307
                 107,             0.02299,            0.028397,           0.0016991,             0.88332,             0.82202,              0.8711,             0.61839,            0.024669,            0.031847,            0.011347,            0.003004,            0.003004,            0.003004
                 108,             0.02362,            0.029689,           0.0020197,             0.87723,              0.8361,             0.86933,             0.61772,            0.024599,            0.032874,           0.0099192,            0.002938,            0.002938,            0.002938
                 109,            0.022916,            0.029445,           0.0019839,             0.86706,             0.82022,             0.86587,             0.61863,            0.024675,            0.032474,            0.010618,            0.002872,            0.002872,            0.002872
                 110,            0.023118,            0.028316,            0.001909,             0.87412,             0.83284,             0.86881,             0.61935,            0.024967,            0.032324,            0.010477,            0.002806,            0.002806,            0.002806
                 111,            0.022695,            0.028802,           0.0020488,             0.83501,             0.85022,             0.86703,             0.61846,            0.024875,            0.031486,            0.010676,             0.00274,             0.00274,             0.00274
                 112,            0.022625,            0.028789,           0.0019733,             0.87497,             0.81401,             0.86641,             0.61858,            0.024894,            0.031755,            0.010276,            0.002674,            0.002674,            0.002674
                 113,            0.022572,             0.02816,            0.002012,             0.85083,             0.83919,              0.8659,             0.62251,             0.02444,            0.032091,             0.01007,            0.002608,            0.002608,            0.002608
                 114,            0.022282,            0.027372,           0.0018801,             0.87975,             0.82487,             0.86045,             0.61597,            0.024495,            0.031775,            0.010899,            0.002542,            0.002542,            0.002542
                 115,            0.022471,            0.027834,            0.001497,              0.8837,             0.83097,             0.86596,             0.62106,            0.024661,            0.031006,            0.010472,            0.002476,            0.002476,            0.002476
                 116,            0.022424,            0.028832,            0.001855,             0.84868,              0.8307,             0.86064,             0.61757,             0.02485,            0.031131,            0.011501,             0.00241,             0.00241,             0.00241
                 117,            0.021863,            0.026976,           0.0017147,             0.84342,             0.82672,             0.86601,               0.618,            0.024857,            0.032091,            0.011655,            0.002344,            0.002344,            0.002344
                 118,             0.02218,            0.028016,            0.001728,               0.873,             0.80859,             0.86785,             0.62049,            0.024876,            0.032288,            0.011649,            0.002278,            0.002278,            0.002278
                 119,            0.021866,            0.027957,           0.0017383,             0.87722,             0.82552,             0.87398,             0.62164,            0.025158,             0.03194,            0.010264,            0.002212,            0.002212,            0.002212
                 120,            0.021853,            0.026811,            0.002022,             0.88637,             0.82251,             0.87673,             0.62309,             0.02472,            0.032274,           0.0097023,            0.002146,            0.002146,            0.002146
                 121,            0.021603,            0.028195,           0.0016162,             0.83448,             0.83022,             0.86615,             0.62157,            0.024939,            0.032227,            0.011525,             0.00208,             0.00208,             0.00208
                 122,            0.021665,            0.026971,           0.0019716,             0.88473,             0.81899,             0.87137,             0.62103,            0.024827,            0.032071,            0.011537,            0.002014,            0.002014,            0.002014
                 123,            0.021849,            0.027831,           0.0019466,              0.8838,             0.83197,             0.87899,             0.62665,            0.024575,            0.032354,            0.010918,            0.001948,            0.001948,            0.001948
                 124,            0.021567,            0.027001,           0.0015445,             0.85142,             0.85385,              0.8731,             0.62667,            0.024585,            0.031737,            0.010204,            0.001882,            0.001882,            0.001882
                 125,            0.021095,            0.026836,           0.0016543,              0.8511,             0.83431,             0.86917,             0.62192,            0.024506,            0.031843,            0.010157,            0.001816,            0.001816,            0.001816
                 126,            0.021416,            0.027263,            0.001577,             0.87983,             0.83205,             0.87955,             0.62498,            0.024196,            0.032197,           0.0098353,             0.00175,             0.00175,             0.00175
                 127,            0.021391,            0.027861,           0.0015128,             0.86298,             0.84738,             0.87467,             0.62624,            0.024263,            0.032196,           0.0097946,            0.001684,            0.001684,            0.001684
                 128,            0.020962,            0.025994,           0.0016711,             0.89297,             0.82516,             0.87508,             0.62735,            0.024311,            0.031768,            0.010216,            0.001618,            0.001618,            0.001618
                 129,            0.021171,            0.026965,           0.0015652,             0.87138,             0.83134,             0.87109,             0.62691,            0.024412,            0.031516,            0.010796,            0.001552,            0.001552,            0.001552
                 130,            0.020983,            0.026099,           0.0016376,             0.87852,              0.8122,             0.86897,             0.62797,            0.024219,            0.031989,            0.011411,            0.001486,            0.001486,            0.001486
                 131,            0.020904,            0.026861,           0.0016054,             0.85254,             0.81595,             0.86189,             0.62573,            0.024333,            0.031993,             0.01095,             0.00142,             0.00142,             0.00142
                 132,             0.02048,            0.025884,           0.0015791,             0.85449,             0.82167,             0.86498,             0.62449,            0.024488,             0.03254,            0.010897,            0.001354,            0.001354,            0.001354
                 133,            0.020603,            0.026662,           0.0015385,             0.85754,             0.82661,             0.87103,             0.62769,            0.024502,            0.032473,            0.010624,            0.001288,            0.001288,            0.001288
                 134,            0.020998,             0.02627,            0.001754,             0.88301,             0.80805,             0.87125,             0.62963,            0.024465,            0.032582,            0.010667,            0.001222,            0.001222,            0.001222
                 135,            0.020907,            0.026173,            0.001537,             0.84035,             0.85217,             0.86646,             0.62652,             0.02457,            0.032584,            0.010146,            0.001156,            0.001156,            0.001156
                 136,            0.021141,            0.026916,           0.0014169,             0.85685,             0.84616,             0.86796,             0.62238,            0.024691,            0.032801,            0.010067,             0.00109,             0.00109,             0.00109
                 137,            0.020768,            0.026428,           0.0014887,             0.87192,             0.82138,             0.86768,              0.6242,            0.024653,             0.03299,            0.010176,            0.001024,            0.001024,            0.001024
                 138,             0.02066,            0.027051,           0.0014148,             0.89744,             0.80392,             0.87049,             0.62618,            0.024382,            0.032469,           0.0098406,            0.000958,            0.000958,            0.000958
                 139,            0.020564,            0.025959,           0.0014312,             0.88866,             0.80726,             0.87111,             0.62573,             0.02441,            0.032476,            0.010331,            0.000892,            0.000892,            0.000892
                 140,             0.02074,            0.026958,           0.0014991,             0.86756,             0.82612,             0.86532,             0.62955,            0.024512,            0.032482,            0.010826,            0.000826,            0.000826,            0.000826
                 141,            0.020521,            0.026503,           0.0012668,             0.88288,             0.80871,             0.86527,             0.62695,            0.024477,            0.032633,            0.010916,             0.00076,             0.00076,             0.00076
                 142,            0.020028,            0.025318,           0.0015239,             0.88424,             0.81544,             0.87051,             0.62894,            0.024393,            0.032478,            0.010353,            0.000694,            0.000694,            0.000694
                 143,            0.019725,            0.025938,           0.0012035,             0.88077,             0.81009,             0.86587,               0.627,            0.024367,             0.03259,            0.010719,            0.000628,            0.000628,            0.000628
                 144,            0.020104,            0.025349,           0.0013433,             0.87363,              0.8099,             0.86395,             0.62431,            0.024343,            0.032724,            0.010885,            0.000562,            0.000562,            0.000562
                 145,            0.019813,            0.025621,           0.0015093,             0.87236,             0.80656,             0.86232,             0.62604,            0.024238,            0.032611,            0.010833,            0.000496,            0.000496,            0.000496
                 146,            0.020146,             0.02516,            0.001301,             0.85553,             0.82709,             0.86234,             0.62549,            0.024274,            0.032561,             0.01075,             0.00043,             0.00043,             0.00043
                 147,             0.01981,            0.026147,           0.0012527,              0.8451,             0.83068,             0.86451,             0.62711,            0.024309,            0.032395,            0.011078,            0.000364,            0.000364,            0.000364
                 148,            0.020161,            0.025714,           0.0013986,             0.84142,             0.84559,             0.86805,             0.62977,             0.02428,            0.032415,            0.010924,            0.000298,            0.000298,            0.000298
                 149,             0.01983,            0.025895,           0.0012799,              0.8451,             0.82839,             0.86304,             0.62699,             0.02427,            0.032349,            0.010959,            0.000232,            0.000232,            0.000232
